method, of, time, fast_chargers, slow_chargers
exact, 4246.0500000000975, 142.41143608093262, [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 10.0, 10.0, 0.0]
heuOnlyFirstStage, 0, 8.359907150268555, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
simpleHeu, 0, 2.0270729064941406, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
simpleHeu, 2839.449999999997, 2.816728115081787, [10. 10. 10.  0.  0.  0.  0.  0.  3.  0.], [ 0.  0.  0.  0.  0.  0.  9. 10.  7. 10.]
